流水,華語,台語,台羅,備存對照
335,十八王公廟,十八王公廟,Tsa̍p-peh-ông-kong-biō,39001
336,十八變,十八變,tsa̍p-peh-piàn/tsa̍p-pueh-piàn,75
337,十分,十分,Tsa̍p-hūn,34203
338,十全,十全,tsa̍p-tsn̂g,96
339,十全,十全,si̍p-tsuân,97
340,十字架,十字架,si̍p-jī-kè/si̍p-lī-kè,100
341,十字路,十字路,si̍p-jī-lōo/si̍p-lī-lōo,102
342,十字路口,路頭,lōo-thâu,10271
343,十字鎬,尖喙掘仔,tsiam-tshuì-ku̍t-á,2382
344,十足,十足,tsa̍p-tsiok,110
345,卜,卜,poh,63
346,卜,卜,pok,64
347,卜卦,卜卦,pok-kuà,114
348,又,又,iū,65
349,又,又閣,iū-koh,155
350,又,閣,koh,10941
351,又黑又瘦,烏焦瘦,oo-ta-sán,6313
352,丈,丈,tn̄g,169
353,丈夫,查埔人,tsa-poo-lâng,5122
354,丈夫,翁,ang,6508
355,丈夫,翁婿,ang-sài,6539
356,丈夫,頭家,thâu-ke,12096
357,丈母娘,丈姆,tiūnn-ḿ,357
358,丈母娘,丈姆婆,tiūnn-ḿ-pô,364
359,三,三,sam,170
360,三,三,sann,171
361,三八,八珍,pat-tin,126
362,三八,三八,sam-pat,219
363,三八,三八氣,sam-pat-khuì,230
364,三三兩兩,放水燈,pàng-tsuí-ting,4002
365,三叉河,三叉河,Sam-tshe-hô,40010
366,三山國王,三山國王,Sam-san-kok-ông,242
367,三山國王廟,三山國王廟,Sam-san-kok-ông-biō,39002
368,三太子,三太子,Sam-thài-tsú,272
369,三心二意,三心兩意,sam-sim-lióng-ì,274
370,三毛,三角,sann-kak,335
371,三民,三民,Sam-bîn,34170
372,三民區,三民區,Sam-bîn-khu,35019
373,三民鄉,三民區,Sam-bîn-khu,35278
374,三地門鄉,三地門鄉,Sam-tē-mn̂g-hiong,35305
375,三多商圈,三多商圈,Sàm-to Siong-khuan,36088
376,三夾板,木心枋,bo̍k-sim-pang,867
377,三更,三更,sann-kenn/sann-kinn,330
378,三更半夜,三更半暝,sann-kenn-puànn-mê/sann-kinn-puànn-mî,331
